date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2020-02-29 | 1
2023-05-01 | 0
2023-04-17 | 0
2023-04-10 | 1
2012-01-11 | 1
2023-04-09 | +1
2023-04-09 | 1
2009-01-09 | 1
2009-01-02 | 0
2015-07-02 | 1000
2009-01-02 | 0.0
2012-01-02 | 0.9
2019-01-02 | 250
200--12-12 | 0
2012--0-01 | 0
2012-00--1 | 0
2012-00-01a| 0
2012-00-01 e 0
2012-00-01 |d0
2012-00-01 |
2012-00-01 
2012-00-01 | .
2012-00-01 | 0.
2012-00-01 | p
2012-00-01 | .10
2012-00-01 | 010..23
2012-01-00 | 1000
2012-01-32 | 1000
2012-13-01 | 0
2012-00-01 | 0
2024-01-01 | 10
2017-02-29 | 1
2018-02-29 | 1
2019-02-29 | 1
2001-42-42
2023-04-09 | +

2012-01-11 | 2147483648
2011-01-27 | 1001
2012-01-11 | -1
2023-08-09 | 1
2009-01-01 | 1
